Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_TIP,Index_MCP,Index_PIP,Index_DIP,Index_TIP,Middle_MCP,Middle_PIP,Middle_DIP,Middle_TIP,Ring_MCP,Ring_PIP,Ring_DIP,Ring_TIP,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_TIP,Letter,Class_Index,ImagePath
"[0.7840771675109863, 0.4010767340660095, -0.002313053933903575]","[0.84874027967453, 0.2960834503173828, -0.014004196971654892]","[0.8695080876350403, 0.2067713439464569, -0.03392961621284485]","[0.8674684166908264, 0.1385478973388672, -0.05261574685573578]","[0.8082848787307739, 0.20806370675563812, 0.007631128188222647]","[0.8402783274650574, 0.14838942885398865, -0.009816240519285202]","[0.824956476688385, 0.23247376084327698, -0.01447642594575882]","[0.8082531690597534, 0.3030586838722229, -0.018855838105082512]","[0.7587530016899109, 0.19754286110401154, -0.013965774327516556]","[0.7911422252655029, 0.1525929719209671, -0.05320720747113228]","[0.7768653035163879, 0.2553783059120178, -0.07469122856855392]","[0.7601527571678162, 0.33645597100257874, -0.08161502331495285]","[0.7039818167686462, 0.19721905887126923, -0.0363374724984169]","[0.7406467199325562, 0.16380363702774048, -0.06744930893182755]","[0.7303244471549988, 0.27152442932128906, -0.07463682442903519]","[0.7158740162849426, 0.34987539052963257, -0.07408320903778076]","[0.6473387479782104, 0.20556779205799103, -0.060741446912288666]","[0.6867779493331909, 0.17060601711273193, -0.07305831462144852]","[0.6913837790489197, 0.2483270764350891, -0.07136408984661102]","[0.6850250363349915, 0.3089689612388611, -0.06873925775289536]",A,0.0,.\ASL_Data\ASL_Validate\A\A109.jpg
"[0.77203768491745, 0.41551193594932556, -0.004328106064349413]","[0.8351230025291443, 0.3158656060695648, -0.017899850383400917]","[0.8542395830154419, 0.2295762002468109, -0.039280232042074203]","[0.8492673635482788, 0.15840435028076172, -0.05934081971645355]","[0.8001276254653931, 0.22521518170833588, 0.0016625206917524338]","[0.829571008682251, 0.16342300176620483, -0.018064020201563835]","[0.8139504790306091, 0.2434530109167099, -0.023053715005517006]","[0.7985201478004456, 0.31307587027549744, -0.02721467614173889]","[0.7522692084312439, 0.21579201519489288, -0.01921601966023445]","[0.7811455130577087, 0.1708478033542633, -0.06173247843980789]","[0.7665389180183411, 0.2715316712856293, -0.08208087086677551]","[0.7516711950302124, 0.34985440969467163, -0.0871920958161354]","[0.6993241906166077, 0.21613675355911255, -0.04096190631389618]","[0.7316268086433411, 0.18127018213272095, -0.0753561407327652]","[0.721880316734314, 0.28639307618141174, -0.08106637746095657]","[0.7093715667724609, 0.36335432529449463, -0.07846025377511978]","[0.6442207098007202, 0.22564157843589783, -0.06487569212913513]","[0.6788539290428162, 0.18865448236465454, -0.07947786152362823]","[0.683068573474884, 0.26395636796951294, -0.07740917801856995]","[0.6778700947761536, 0.32374656200408936, -0.07367868721485138]",A,0.0,.\ASL_Data\ASL_Validate\A\A119.jpg
"[0.7707792520523071, 0.48865950107574463, -0.0014539177063852549]","[0.8323426246643066, 0.388210654258728, -0.013096809387207031]","[0.8541162610054016, 0.30220434069633484, -0.03303808346390724]","[0.8588374853134155, 0.2313362956047058, -0.05223328620195389]","[0.7947522401809692, 0.30367496609687805, 0.006972912698984146]","[0.8252859115600586, 0.2504655122756958, -0.011651047505438328]","[0.8110719919204712, 0.3295058012008667, -0.018374981358647346]","[0.7976342439651489, 0.39541828632354736, -0.0242164209485054]","[0.7486723065376282, 0.29333680868148804, -0.014529706910252571]","[0.7807886004447937, 0.2589089274406433, -0.054280634969472885]","[0.7664058208465576, 0.35763683915138245, -0.07673097401857376]","[0.7510179281234741, 0.43460115790367126, -0.08482307940721512]","[0.6972572803497314, 0.2927911877632141, -0.036812689155340195]","[0.7326419949531555, 0.26661503314971924, -0.0691002756357193]","[0.7213614583015442, 0.36939528584480286, -0.07727218419313431]","[0.7071241140365601, 0.4457736015319824, -0.07762112468481064]","[0.6439776420593262, 0.30012717843055725, -0.060884859412908554]","[0.6813102960586548, 0.27024760842323303, -0.07526284456253052]","[0.6854114532470703, 0.3447667062282562, -0.07473966479301453]","[0.6798787117004395, 0.404482901096344, -0.07288473099470139]",A,0.0,.\ASL_Data\ASL_Validate\A\A129.jpg
"[0.7797690629959106, 0.5588651895523071, 0.0011472334153950214]","[0.8400132656097412, 0.4662281572818756, -0.006997205782681704]","[0.8628619909286499, 0.38297712802886963, -0.02316085621714592]","[0.8631459474563599, 0.3143714666366577, -0.03908455744385719]","[0.8048537969589233, 0.37588226795196533, 0.010700519196689129]","[0.833247721195221, 0.3300335705280304, -0.005371334962546825]","[0.8158466815948486, 0.40761417150497437, -0.01147514022886753]","[0.7985671162605286, 0.47165796160697937, -0.016782429069280624]","[0.7585893273353577, 0.3630189597606659, -0.010072431527078152]","[0.7874910831451416, 0.3412260115146637, -0.04594706371426582]","[0.7708263993263245, 0.44026124477386475, -0.06839770823717117]","[0.7539651393890381, 0.5167780518531799, -0.07748648524284363]","[0.7081828713417053, 0.361428827047348, -0.03092835657298565]","[0.7407664656639099, 0.34788140654563904, -0.06089799851179123]","[0.7293891310691833, 0.44780775904655457, -0.07150029391050339]","[0.7152999043464661, 0.5223299860954285, -0.07411371171474457]","[0.6569920778274536, 0.36819860339164734, -0.053287800401449203]","[0.688744306564331, 0.3535800278186798, -0.0668012797832489]","[0.6910313963890076, 0.4250504672527313, -0.06818258762359619]","[0.6851483583450317, 0.48007261753082275, -0.06787905842065811]",A,0.0,.\ASL_Data\ASL_Validate\A\A139.jpg
"[0.7817107439041138, 0.6320180296897888, -0.000330905633745715]","[0.8408198952674866, 0.5424221754074097, -0.008642754517495632]","[0.8623459935188293, 0.46202558279037476, -0.02419123612344265]","[0.8629615306854248, 0.39513513445854187, -0.03917102515697479]","[0.8080107569694519, 0.4507666826248169, 0.006179777439683676]","[0.8364184498786926, 0.4092317819595337, -0.009408743120729923]","[0.8202272057533264, 0.48380178213119507, -0.014592591673135757]","[0.8070268630981445, 0.543746829032898, -0.019378703087568283]","[0.764647901058197, 0.43819254636764526, -0.013168327510356903]","[0.7915304899215698, 0.4240753948688507, -0.04883121699094772]","[0.7746971249580383, 0.5186439752578735, -0.06885622441768646]","[0.7597707509994507, 0.5897825956344604, -0.07614456862211227]","[0.7164926528930664, 0.437083899974823, -0.032535891979932785]","[0.7447803616523743, 0.4336484670639038, -0.06259845197200775]","[0.7313963174819946, 0.528408408164978, -0.07088262587785721]","[0.7177361249923706, 0.5974712371826172, -0.07141342014074326]","[0.6674226522445679, 0.44573086500167847, -0.053367387503385544]","[0.6963591575622559, 0.4289153516292572, -0.06794723123311996]","[0.6981443762779236, 0.4961422383785248, -0.06879999488592148]","[0.6933644413948059, 0.5490906238555908, -0.067444808781147]",A,0.0,.\ASL_Data\ASL_Validate\A\A149.jpg
"[0.7637466788291931, 0.6974198222160339, 0.003265287959948182]","[0.8213599920272827, 0.6032204627990723, -0.005170150194317102]","[0.8438254594802856, 0.5223187804222107, -0.021027497947216034]","[0.8562333583831787, 0.45672062039375305, -0.037132080644369125]","[0.785707950592041, 0.5016486644744873, 0.0029390454292297363]","[0.8174272775650024, 0.4972901940345764, -0.012828530743718147]","[0.7999362945556641, 0.5747500658035278, -0.020672332495450974]","[0.7861256003379822, 0.6357820630073547, -0.02849234826862812]","[0.7412208318710327, 0.48403114080429077, -0.01905226707458496]","[0.775536298751831, 0.5119156837463379, -0.049813929945230484]","[0.7552080750465393, 0.6063509583473206, -0.06994419544935226]","[0.7363409399986267, 0.6792012453079224, -0.08227503299713135]","[0.6938145160675049, 0.48137935996055603, -0.0401599295437336]","[0.7316762804985046, 0.5223477482795715, -0.06500888615846634]","[0.7147762775421143, 0.6142672896385193, -0.07497571408748627]","[0.6983262300491333, 0.6809452772140503, -0.08126836270093918]","[0.6480500102043152, 0.49228435754776, -0.06276939809322357]","[0.6819124221801758, 0.5216947793960571, -0.07524003833532333]","[0.6809686422348022, 0.5928975939750671, -0.07721756398677826]","[0.6744383573532104, 0.6438993215560913, -0.07923601567745209]",A,0.0,.\ASL_Data\ASL_Validate\A\A159.jpg
"[0.7324245572090149, 0.7517510652542114, -0.008181818760931492]","[0.7928885221481323, 0.6638521552085876, -0.020865101367235184]","[0.8174614906311035, 0.5863111019134521, -0.037905994802713394]","[0.8272377252578735, 0.5219288468360901, -0.05505961924791336]","[0.756959080696106, 0.5543019771575928, -0.013258777558803558]","[0.787049412727356, 0.5724546909332275, -0.03267805650830269]","[0.7649416923522949, 0.6471855640411377, -0.04232971742749214]","[0.7488976716995239, 0.7014371156692505, -0.05108273774385452]","[0.7133914828300476, 0.536415696144104, -0.030122971162199974]","[0.7438920736312866, 0.5851679444313049, -0.06369739770889282]","[0.7199275493621826, 0.6720322966575623, -0.08279197663068771]","[0.7000352144241333, 0.7359008193016052, -0.09509538859128952]","[0.667447566986084, 0.5351406931877136, -0.04668479040265083]","[0.7002649903297424, 0.5962331891059875, -0.07567635178565979]","[0.6817961931228638, 0.6788892149925232, -0.0854991152882576]","[0.666017472743988, 0.7371418476104736, -0.09126730263233185]","[0.6231325268745422, 0.5502960085868835, -0.06552933156490326]","[0.6511548757553101, 0.5904254913330078, -0.08300551772117615]","[0.6508890390396118, 0.6559445858001709, -0.08680543303489685]","[0.6466635465621948, 0.7025870680809021, -0.08929914981126785]",A,0.0,.\ASL_Data\ASL_Validate\A\A169.jpg
"[0.7158136367797852, 0.7395936846733093, -0.0033750878646969795]","[0.7735281586647034, 0.6567153930664062, -0.013549724593758583]","[0.7974481582641602, 0.581785261631012, -0.02936249040067196]","[0.8058379888534546, 0.5138281583786011, -0.04534626379609108]","[0.742416262626648, 0.5562462210655212, -0.002290590899065137]","[0.7679020166397095, 0.5535751581192017, -0.017939789220690727]","[0.7473152279853821, 0.62554931640625, -0.025471119210124016]","[0.7315619587898254, 0.6818764209747314, -0.03282594308257103]","[0.6996592879295349, 0.5382883548736572, -0.020191585645079613]","[0.7232202887535095, 0.5696690678596497, -0.05051317811012268]","[0.7032817602157593, 0.6556165218353271, -0.06982322037220001]","[0.6869177222251892, 0.7209022641181946, -0.08160043507814407]","[0.6545571684837341, 0.5345397591590881, -0.03774082288146019]","[0.6810550093650818, 0.5817797780036926, -0.06424189358949661]","[0.6660882234573364, 0.6656172871589661, -0.07557598501443863]","[0.6530490517616272, 0.7263387441635132, -0.08217576891183853]","[0.6106749773025513, 0.5443933606147766, -0.05705886706709862]","[0.6330602765083313, 0.5781438946723938, -0.07235731929540634]","[0.6329602003097534, 0.6450362801551819, -0.07659994810819626]","[0.6294387578964233, 0.6933642625808716, -0.07941193878650665]",A,0.0,.\ASL_Data\ASL_Validate\A\A179.jpg
"[0.7287065386772156, 0.760474681854248, -0.007594285067170858]","[0.7836936712265015, 0.6734598278999329, -0.019687743857502937]","[0.8041841387748718, 0.6002126336097717, -0.03609092906117439]","[0.809413492679596, 0.5421342849731445, -0.052772752940654755]","[0.7463884949684143, 0.5770784020423889, -0.01484689675271511]","[0.7772108316421509, 0.5804860591888428, -0.03514137119054794]","[0.7596995830535889, 0.6516343951225281, -0.04507527872920036]","[0.7468116283416748, 0.704637348651886, -0.05352441594004631]","[0.7052639126777649, 0.5619523525238037, -0.031212380155920982]","[0.7351521849632263, 0.5932595133781433, -0.06555680185556412]","[0.7177050709724426, 0.6791987419128418, -0.08456315100193024]","[0.7030878663063049, 0.7438052296638489, -0.09589335322380066]","[0.6622363328933716, 0.5624650716781616, -0.0472748689353466]","[0.6940928101539612, 0.6063100099563599, -0.07632149755954742]","[0.6802128553390503, 0.6899210810661316, -0.08554935455322266]","[0.6683927178382874, 0.750144898891449, -0.09047526866197586]","[0.6203299760818481, 0.5782977342605591, -0.06551559269428253]","[0.6476035714149475, 0.6084941029548645, -0.08262007683515549]","[0.6491473913192749, 0.6741737723350525, -0.08598247915506363]","[0.6468327641487122, 0.721329391002655, -0.08797907829284668]",A,0.0,.\ASL_Data\ASL_Validate\A\A189.jpg
"[0.675481379032135, 0.7755839824676514, -0.011272994801402092]","[0.728621244430542, 0.6901557445526123, -0.02368192747235298]","[0.747805118560791, 0.6145856976509094, -0.03950061649084091]","[0.7572883367538452, 0.5534391403198242, -0.05563783273100853]","[0.695692241191864, 0.5839440226554871, -0.0135958855971694]","[0.7173218131065369, 0.6000802516937256, -0.030784787610173225]","[0.6962623000144958, 0.6733609437942505, -0.04007896035909653]","[0.6820088028907776, 0.7265452146530151, -0.04905758798122406]","[0.652253270149231, 0.5697431564331055, -0.028075329959392548]","[0.6732496023178101, 0.6127105951309204, -0.057166531682014465]","[0.6574145555496216, 0.6971358060836792, -0.07624462246894836]","[0.6448562741279602, 0.7596102952957153, -0.08996981382369995]","[0.607366144657135, 0.5724708437919617, -0.04261062666773796]","[0.6312580108642578, 0.6229493021965027, -0.06926006823778152]","[0.6195118427276611, 0.7058262825012207, -0.08045991510152817]","[0.6102215051651001, 0.7651652693748474, -0.08823877573013306]","[0.5639609694480896, 0.589759349822998, -0.05954970046877861]","[0.5836604833602905, 0.626347541809082, -0.07679212093353271]","[0.586391031742096, 0.6930965185165405, -0.08161461353302002]","[0.5859517455101013, 0.7401218414306641, -0.08530145138502121]",A,0.0,.\ASL_Data\ASL_Validate\A\A199.jpg
